"Nome ",ID,Группа,Дата Последней Котировки,Дата стоимости,Ед. Измерения,Категория,"Название RU ",Название RU [AI],Последний Поставщик,Последняя Котировка,Поставщик / Подрядчик,Поставщики,Создано,Стоимость,💯 Котировки поставщиков
SECIL Argamassas UNIDECOR Natural,,,06/10/2025,"October 6, 2025 11:56 AM",мешок,Бетон,,SECIL Argamassas UNIDECOR Natural,,€89.61,BEtao secil (https://www.notion.so/BEtao-secil-21118f66387380a29598fafb1010fccd?pvs=21),,"October 6, 2025 11:14 AM",,"SECIL Argamassas UNIDECOR Natural — €89,61/мешок — 06.10.2025 (https://www.notion.so/SECIL-Argamassas-UNIDECOR-Natural-89-61-06-10-2025-21ca5e7f813a45dd86b11457f98bd0ee?pvs=21)"
Parafuso inox,,,06/10/2025,"October 9, 2025 4:38 PM",un,Крепежные изделия,,Саморез нержавеющий,Maxmat,€0.35,Maxmat (https://www.notion.so/Maxmat-182d1bb74d9d492b8a2a274287dccf39?pvs=21),https://www.notion.so/182d1bb74d9d492b8a2a274287dccf39,"October 6, 2025 11:38 AM",€0.35,"Parafuso inox — Maxmat — 0,35 €/Шт — 06.10.2025 (https://www.notion.so/Parafuso-inox-Maxmat-0-35-06-10-2025-091b2f05941442ebaddddc0537f06817?pvs=21)"
Areia,,,06/10/2025,"October 6, 2025 11:38 AM",m3,Инертные материалы,,Песок,E. S. Ferreira,€25.00,,https://www.notion.so/74f81e7da20642f0bb230c74f0d17a9b,"October 6, 2025 11:38 AM",,"Areia — E. S. Ferreira — 25,00 €/м3 — 06.10.2025 (https://www.notion.so/Areia-E-S-Ferreira-25-00-3-06-10-2025-32a6eeab7cca41c7bf35ce711bf4d5f2?pvs=21)"
Cimento Portland,,,06/10/2025,"October 6, 2025 11:38 AM",мешок,Вяжущие материалы,,Цемент Portland,E. S. Ferreira,€7.50,,https://www.notion.so/74f81e7da20642f0bb230c74f0d17a9b,"October 6, 2025 11:38 AM",,"Cimento Portland — E. S. Ferreira — 7,50 €/мешок — 06.10.2025 (https://www.notion.so/Cimento-Portland-E-S-Ferreira-7-50-06-10-2025-0265e8eb71664a5ebd91b54f90da449d?pvs=21)"
Adesivo PVC cola tubo,,,06/10/2025,"October 6, 2025 11:38 AM",un,Клеи и герметики,,Клей для труб ПВХ,Devesa e Silva Ferreira LDA,€10.50,,https://www.notion.so/ef08935dbff84e99a322343d83ca6f47,"October 6, 2025 11:38 AM",,"Adesivo PVC cola tubo — Devesa e Silva Ferreira LDA — 10,50 €/Шт — 06.10.2025 (https://www.notion.so/Adesivo-PVC-cola-tubo-Devesa-e-Silva-Ferreira-LDA-10-50-06-10-2025-24ff570f863c4876a3316a5f1dda356a?pvs=21)"
Abraçadeira inox D50-60,,,06/10/2025,"October 6, 2025 11:38 AM",un,Крепежные изделия,,Обжимная стальная D50-60,Maxmat,€2.50,,https://www.notion.so/182d1bb74d9d492b8a2a274287dccf39,"October 6, 2025 11:38 AM",,"Abraçadeira inox D50-60 — Maxmat — 2,50 €/Шт — 06.10.2025 (https://www.notion.so/Abra-adeira-inox-D50-60-Maxmat-2-50-06-10-2025-70dec179484d4d77a15d29d498c033d3?pvs=21)"
Vedante silicone,,,06/10/2025,"October 6, 2025 11:38 AM",un,Клеи и герметики,,Силиконовый герметик,Maxmat,€8.50,,https://www.notion.so/182d1bb74d9d492b8a2a274287dccf39,"October 6, 2025 11:38 AM",,"Vedante silicone — Maxmat — 8,50 €/Шт — 06.10.2025 (https://www.notion.so/Vedante-silicone-Maxmat-8-50-06-10-2025-2f3d430a531c431e9fa4d421d9de7449?pvs=21)"
Massa de junta,,,06/10/2025,"October 6, 2025 11:38 AM",kg,Клеи и герметики,,Масса соединения,E. S. Ferreira,€12.00,,https://www.notion.so/74f81e7da20642f0bb230c74f0d17a9b,"October 6, 2025 11:38 AM",,"Massa de junta — E. S. Ferreira — 12,00 €/KG — 06.10.2025 (https://www.notion.so/Massa-de-junta-E-S-Ferreira-12-00-KG-06-10-2025-2727f1bee9984df9bcb88bf7a648ce5c?pvs=21)"
Varão Ferro CA25 Ø10mm,,,06/10/2025,"October 6, 2025 11:38 AM",kg,Металлопрокат,,Железный прут CA25 Ø10мм,Maxmat,€1.50,,https://www.notion.so/182d1bb74d9d492b8a2a274287dccf39,"October 6, 2025 11:38 AM",,"Varão Ferro CA25 Ø10mm — Maxmat — 1,50 €/KG — 06.10.2025 (https://www.notion.so/Var-o-Ferro-CA25-10mm-Maxmat-1-50-KG-06-10-2025-834a61e9f5ea4795a505c6c013a160e2?pvs=21)"
Tijolo furado 30x20x15,,,06/10/2025,"October 6, 2025 11:38 AM",un,Кирпич,,Кирпич пустотелый 30x20x15,E. S. Ferreira,€0.25,,https://www.notion.so/74f81e7da20642f0bb230c74f0d17a9b,"October 6, 2025 11:38 AM",,"Tijolo furado 30x20x15 — E. S. Ferreira — 0,25 €/Шт — 06.10.2025 (https://www.notion.so/Tijolo-furado-30x20x15-E-S-Ferreira-0-25-06-10-2025-70115957dc6849d5abba3ffa4172dba9?pvs=21)"
Tela de rede aço,,,06/10/2025,"October 6, 2025 11:38 AM",m2,Сетки и армирование,,Сетка стальная,E. S. Ferreira,€15.00,,https://www.notion.so/74f81e7da20642f0bb230c74f0d17a9b,"October 6, 2025 11:38 AM",,"Tela de rede aço — E. S. Ferreira — 15,00 €/m2 — 06.10.2025 (https://www.notion.so/Tela-de-rede-a-o-E-S-Ferreira-15-00-m2-06-10-2025-99a44066813a4fdf8b7bfc712f1712bb?pvs=21)"
"Disco de corte para madeira 180x22,23mm",,,06/10/2025,"October 6, 2025 11:59 AM",un,Режущие инструменты,,"Диск резачный для дерева 180x22,23мм",Leroy Marlin,€1.20,,https://www.notion.so/62eea2d7001041c18d895f2cf3e27772,"October 6, 2025 11:59 AM",,"Disco de corte para madeira 180x22,23mm — Leroy Merlin — €1,20/Шт — 06.10.2025 (https://www.notion.so/Disco-de-corte-para-madeira-180x22-23mm-Leroy-Merlin-1-20-06-10-2025-de7dbd5e409c4f7ea4d46fdeb209c6a5?pvs=21)"
Ancoragem ativa (kit),,,,"October 6, 2025 12:19 PM",un,Крепежные изделия,"Активные анкеры — €5,50/шт","Активные анкеры (активные анкеры) — €5,50/шт",,,Brico Depôt Faro (https://www.notion.so/Brico-Dep-t-Faro-eb9b8352166b46f3900fa79d157e8a85?pvs=21),,"October 6, 2025 12:19 PM",,
Ancoragem passiva (kit),,,,"October 6, 2025 12:19 PM",un,Крепежные изделия,,"Пассивные анкеры — €4,90/шт",,,Brico Depôt Faro (https://www.notion.so/Brico-Dep-t-Faro-eb9b8352166b46f3900fa79d157e8a85?pvs=21),,"October 6, 2025 12:19 PM",,
Baguete reboco,,,05/02/2025,"October 6, 2025 12:22 PM",un,Отделочные материалы,,Багет ребоко,Abel de Oliveira Carrasquinho S.A.,€11.50,,"https://www.notion.so/fca6c0821e02458db706b5f04358d781,https://www.notion.so/fca6c0821e02458db706b5f04358d781,https://www.notion.so/34ea34cadda14d089f61264bd7188630","October 6, 2025 12:21 PM",,"Baguete reboco — Abel de Oliveira Carrasquinho S.A. — 1,76 €/Шт — 31.01.2025 (https://www.notion.so/Baguete-reboco-Abel-de-Oliveira-Carrasquinho-S-A-1-76-31-01-2025-533607291ca7462eb09273eb8a00d316?pvs=21), Baguete reboco — Abel de Oliveira Carrasquinho S.A. — 11,50 €/Шт — 05.02.2025 (https://www.notion.so/Baguete-reboco-Abel-de-Oliveira-Carrasquinho-S-A-11-50-05-02-2025-e34b0911dbee428284b4eb9416bfbe00?pvs=21), BAGUETE REBOCO — Abel de Oliveira - Materiais de Construcao — 5,77 €/Шт — 31.01.2025 (https://www.notion.so/BAGUETE-REBOCO-Abel-de-Oliveira-Materiais-de-Construcao-5-77-31-01-2025-27cfb29984fa43b188a2070229ba84fd?pvs=21)"
Palete Turmesque,,,07/02/2025,"October 6, 2025 12:22 PM",un,,,Palete Turmesque,Abel de Oliveira Carrasquinho S.A.,€11.00,,https://www.notion.so/fca6c0821e02458db706b5f04358d781,"October 6, 2025 12:21 PM",,"Palete Turmesque — Abel de Oliveira Carrasquinho S.A. — 11,00 €/Шт — 07.02.2025 (https://www.notion.so/Palete-Turmesque-Abel-de-Oliveira-Carrasquinho-S-A-11-00-07-02-2025-edfd2c9525574014a60cb81c4999d525?pvs=21)"
Fita Métrica Tylon 5Mx19mm,,,03/02/2025,"October 6, 2025 12:22 PM",un,Измерительные инструменты,,Лента измерительная Tylon 5м×19мм,Ibertelas,€7.63,,https://www.notion.so/1008e00d03ef44c1a2ae51c3bbcc1f8f,"October 6, 2025 12:21 PM",,"Fita Métrica Tylon 5Mx19mm — Ibertelas — 7,63 €/Шт — 03.02.2025 (https://www.notion.so/Fita-M-trica-Tylon-5Mx19mm-Ibertelas-7-63-03-02-2025-ae9a3dabbc8a4baba66ea09e6d6dcdb4?pvs=21)"
Roca Fibra Vidro 55-10G - Pa050m,,,10/02/2025,"October 6, 2025 12:22 PM",un,Стекло,,Рока Фибра Видро 55-10G - Па050м,Ibertelas,€0.81,,https://www.notion.so/1008e00d03ef44c1a2ae51c3bbcc1f8f,"October 6, 2025 12:21 PM",,"Roca Fibra Vidro 55-10G - Pa050m — Ibertelas — 0,81 €/Шт — 10.02.2025 (https://www.notion.so/Roca-Fibra-Vidro-55-10G-Pa050m-Ibertelas-0-81-10-02-2025-9d76ee72c85640d1aa4ebdf5f496e0b0?pvs=21)"
Tijolo Turmesque 30x30x01,,,07/02/2025,"October 6, 2025 12:22 PM",un,Кирпич,,Кирпич Turmesque 30x30x01,Abel de Oliveira Carrasquinho S.A.,€0.74,,https://www.notion.so/fca6c0821e02458db706b5f04358d781,"October 6, 2025 12:21 PM",,"Tijolo Turmesque 30x30x01 — Abel de Oliveira Carrasquinho S.A. — 0,74 €/Шт — 07.02.2025 (https://www.notion.so/Tijolo-Turmesque-30x30x01-Abel-de-Oliveira-Carrasquinho-S-A-0-74-07-02-2025-e15df4fdded34b1fa32183985feead9c?pvs=21)"
Cimento Portland 25 kg (Saco Artimanha),,,31/01/2025,"October 6, 2025 12:22 PM",Saco,Вяжущие материалы,,Цемент Портленд 25 кг (Сако Артиманха),Abel de Oliveira Carrasquinho S.A.,€4.98,,https://www.notion.so/fca6c0821e02458db706b5f04358d781,"October 6, 2025 12:21 PM",,"Cimento Portland 25 kg (Saco Artimanha) — Abel de Oliveira Carrasquinho S.A. — 4,98 €/мешок — 31.01.2025 (https://www.notion.so/Cimento-Portland-25-kg-Saco-Artimanha-Abel-de-Oliveira-Carrasquinho-S-A-4-98-31-01--5933b1f34cd148aeae9ae9cb72105dff?pvs=21)"
Alumínio 100x20mm 3M,,,30/01/2025,"October 6, 2025 12:22 PM",un,Металлопрокат,,Алюминий 100x20мм 3M,Ibertelas,€18.70,,https://www.notion.so/1008e00d03ef44c1a2ae51c3bbcc1f8f,"October 6, 2025 12:21 PM",,"Alumínio 100x20mm 3M — Ibertelas — 18,70 €/Шт — 30.01.2025 (https://www.notion.so/Alum-nio-100x20mm-3M-Ibertelas-18-70-30-01-2025-5b84da62b18c4334ba49fabfa9be45de?pvs=21)"
Primo Artemara 30x30x1,,,31/01/2025,"October 6, 2025 12:22 PM",un,Блоки,,Primo Artemara 30x30x1,Abel de Oliveira Carrasquinho S.A.,€0.90,,https://www.notion.so/fca6c0821e02458db706b5f04358d781,"October 6, 2025 12:21 PM",,"Primo Artemara 30x30x1 — Abel de Oliveira Carrasquinho S.A. — 0,90 €/Шт — 31.01.2025 (https://www.notion.so/Primo-Artemara-30x30x1-Abel-de-Oliveira-Carrasquinho-S-A-0-90-31-01-2025-91e5d649c618413c90a38ce6907b8661?pvs=21)"
Nylon Torcido 210/27 - 250Gx3 (CD),,,30/01/2025,"October 6, 2025 12:22 PM",un,,,Нейлон Торcido 210/27 - 250Гx3 (CD),Ibertelas,€3.65,,https://www.notion.so/1008e00d03ef44c1a2ae51c3bbcc1f8f,"October 6, 2025 12:21 PM",,"Nylon Torcido 210/27 - 250Gx3 (CD) — Ibertelas — 3,65 €/Шт — 30.01.2025 (https://www.notion.so/Nylon-Torcido-210-27-250Gx3-CD-Ibertelas-3-65-30-01-2025-63fb87b74278424bbc74621a6d6ddc2e?pvs=21)"
Vazio Turmaque 30x30x2,,,05/02/2025,"October 6, 2025 12:22 PM",un,Блоки,,Пустота Турмаке 30x30x2,Abel de Oliveira Carrasquinho S.A.,€0.74,,https://www.notion.so/fca6c0821e02458db706b5f04358d781,"October 6, 2025 12:21 PM",,"Vazio Turmaque 30x30x2 — Abel de Oliveira Carrasquinho S.A. — 0,74 €/Шт — 05.02.2025 (https://www.notion.so/Vazio-Turmaque-30x30x2-Abel-de-Oliveira-Carrasquinho-S-A-0-74-05-02-2025-b772368e363e439eb1c38dd5bca76cbe?pvs=21)"
Tijolo Reboco Exterior Cinza (Saco 25kg),,,05/02/2025,"October 6, 2025 12:22 PM",Saco,Кирпич,,Кирпич штукатурный серый (мешок 25кг),"Libermatt by Jorge & Luis - Materiais, LDA",€2.63,,"https://www.notion.so/86959f8bee254806ac9c30d04a25aaea,https://www.notion.so/86959f8bee254806ac9c30d04a25aaea","October 6, 2025 12:21 PM",,"Tijolo Reboco Exterior Cinza (Saco 25kg) — Libermatt by Jorge & Luis - Materiais, LDA — 2,63 €/мешок — 05.02.2025 (https://www.notion.so/Tijolo-Reboco-Exterior-Cinza-Saco-25kg-Libermatt-by-Jorge-Luis-Materiais-LDA-2-63--cb988911eb6e4e30bd217afbabe71db5?pvs=21), Tijolo Reboco Exterior Cinza (Saco 25kg) — Libermatt by Jorge & Luis - Materiais, LDA — 2,75 €/мешок — 03.02.2025 (https://www.notion.so/Tijolo-Reboco-Exterior-Cinza-Saco-25kg-Libermatt-by-Jorge-Luis-Materiais-LDA-2-75--276fb65df3c34828b6ac0433f6f5b153?pvs=21)"
Tijolo Turmulho 30x30x5,,,07/02/2025,"October 6, 2025 12:22 PM",un,Кирпич,,Кирпич Турмулхо 30x30x5,Abel de Oliveira Carrasquinho S.A.,€1.00,,https://www.notion.so/fca6c0821e02458db706b5f04358d781,"October 6, 2025 12:21 PM",,"Tijolo Turmulho 30x30x5 — Abel de Oliveira Carrasquinho S.A. — 1,00 €/Шт — 07.02.2025 (https://www.notion.so/Tijolo-Turmulho-30x30x5-Abel-de-Oliveira-Carrasquinho-S-A-1-00-07-02-2025-086ff96728b444e6abf884d3a5941861?pvs=21)"
Tijolo Artemara 30x30x1,,,31/01/2025,"October 6, 2025 12:22 PM",un,Кирпич,,Кирпич Artemara 30x30x1,Abel de Oliveira Carrasquinho S.A.,€0.90,,https://www.notion.so/fca6c0821e02458db706b5f04358d781,"October 6, 2025 12:21 PM",,"Tijolo Artemara 30x30x1 — Abel de Oliveira Carrasquinho S.A. — 0,90 €/Шт — 31.01.2025 (https://www.notion.so/Tijolo-Artemara-30x30x1-Abel-de-Oliveira-Carrasquinho-S-A-0-90-31-01-2025-10be198ca2d7439e824460e49de66abe?pvs=21)"
Cordão bentonítico Waterstop,,,,"October 6, 2025 12:28 PM",m,Гидроизоляционные материалы,Бентонитовый шнур Waterstop,,,,,,"October 6, 2025 12:28 PM",,
Apoios de betão armado para lajes,,,,"October 6, 2025 12:28 PM",un,Фундаментные материалы,Железобетонные опоры под плиты,,,,,,"October 6, 2025 12:28 PM",,
Estruturas metálicas de colunas,,,,"October 6, 2025 12:29 PM",kg,Металлические конструкции,Металлоконструкции колонн,,,,,,"October 6, 2025 12:29 PM",,
Estruturas metálicas de vigas,,,,"October 6, 2025 12:31 PM",kg,Металлические конструкции,Металлоконструкции балок,,,,,,"October 6, 2025 12:31 PM",,
Perfil metálico,,,,"October 6, 2025 12:31 PM",kg,Металлические конструкции,Профиль металлический,,,,,,"October 6, 2025 12:31 PM",,
Trincha Branco Cabo Plastico,,,11/04/2025,"October 6, 2025 2:00 PM",un,Клеи и герметики,,Тринча Бранко Кабо Пластико,NEUCE - Industria de Tintas SA,€1.83,,https://www.notion.so/4761b650577842609afc3739db34226d,"October 6, 2025 2:00 PM",,"Trincha Branco Cabo Plastico — NEUCE - Industria de Tintas SA — 1,83 €/Шт — 11.04.2025 (https://www.notion.so/Trincha-Branco-Cabo-Plastico-NEUCE-Industria-de-Tintas-SA-1-83-11-04-2025-bc9f089c366440ef8383d3734dd310dd?pvs=21)"
Rebite Alum Pop 4 x 14,,,11/02/2025,"October 6, 2025 2:00 PM",un,Крепежные изделия,,Ребита алюминиевая Поп 4 x 14,Glória e Silvestre Lda,€1.72,,https://www.notion.so/42b2f82f3d9c4a0f8eff757ce0273eb4,"October 6, 2025 2:00 PM",,"Rebite Alum Pop 4 x 14 — Glória e Silvestre Lda — 1,72 €/Шт — 11.02.2025 (https://www.notion.so/Rebite-Alum-Pop-4-x-14-Gl-ria-e-Silvestre-Lda-1-72-11-02-2025-c81917190d4b46d58e83daecbe5cd002?pvs=21)"
Rebite Alum Pop 3 x 12,,,11/02/2025,"October 6, 2025 2:00 PM",un,Крепежные изделия,,Ребите алюминий Поп 3 x 12,Glória e Silvestre Lda,€1.63,,https://www.notion.so/42b2f82f3d9c4a0f8eff757ce0273eb4,"October 6, 2025 2:00 PM",,"Rebite Alum Pop 3 x 12 — Glória e Silvestre Lda — 1,63 €/Шт — 11.02.2025 (https://www.notion.so/Rebite-Alum-Pop-3-x-12-Gl-ria-e-Silvestre-Lda-1-63-11-02-2025-97aa2736bb6f4b7895ecdf967b7fa80c?pvs=21)"
Tijolo Turmadio 50x30x15,,,03/04/2025,"October 6, 2025 2:00 PM",un,Кирпич,,Кирпич Турмадио 50x30x15,Abel de Oliveira Carrasquinho S.A.,€1.75,,https://www.notion.so/fca6c0821e02458db706b5f04358d781,"October 6, 2025 2:00 PM",,"Tijolo Turmadio 50x30x15 — Abel de Oliveira Carrasquinho S.A. — 1,75 €/Шт — 03.04.2025 (https://www.notion.so/Tijolo-Turmadio-50x30x15-Abel-de-Oliveira-Carrasquinho-S-A-1-75-03-04-2025-6bda440851a64acf9a739d63ef7b25e2?pvs=21)"
Quicksuc Mdr20 Ci PP,,,11/02/2025,"October 6, 2025 2:00 PM",un,фитинг,,Quicksuc Mdr20 Ci PP,Atal Elétrico,€0.42,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Quicksuc Mdr20 Ci PP — Atal Elétrico — 0,42 €/Шт — 11.02.2025 (https://www.notion.so/Quicksuc-Mdr20-Ci-PP-Atal-El-trico-0-42-11-02-2025-430bcfdd926c48cf9186c74fd45b5946?pvs=21)"
Pergola Porcel. Flex. Cinza 25kg (Prc. Firsa),,,31/03/2025,"October 6, 2025 2:00 PM",Saco,Клеи и герметики,,Pergola Porcel. Flex. Серый 25кг (Пrc. Firsa),Ibertelas,€7.28,,https://www.notion.so/1008e00d03ef44c1a2ae51c3bbcc1f8f,"October 6, 2025 2:00 PM",,"Pergola Porcel. Flex. Cinza 25kg (Prc. Firsa) — Ibertelas — 7,28 €/мешок — 31.03.2025 (https://www.notion.so/Pergola-Porcel-Flex-Cinza-25kg-Prc-Firsa-Ibertelas-7-28-31-03-2025-3fa0407650114a2dacb3fd3dd24117ad?pvs=21)"
Caixa E&X VDC CI.CL.PE,,,11/02/2025,"October 6, 2025 2:00 PM",un,Крепежные изделия,,Caixa E&X VDC http://ci.cl.pe/,Atal Elétrico,€2.13,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Caixa E&X VDC CI.CL.PE — Atal Elétrico — 2,13 €/Шт — 11.02.2025 (https://www.notion.so/Caixa-E-X-VDC-CI-CL-PE-Atal-El-trico-2-13-11-02-2025-2c79975cb5714584a492599296e450a8?pvs=21)"
NEUCE GOLD NC Tinta 130% Acrilica,,,11/04/2025,"October 6, 2025 2:00 PM",Lt,Краски,,Краска акриловая NEUCE GOLD NC 130% 1л,NEUCE - Industria de Tintas SA,€23.00,,https://www.notion.so/4761b650577842609afc3739db34226d,"October 6, 2025 2:00 PM",,"NEUCE GOLD NC Tinta 130% Acrilica — NEUCE - Industria de Tintas SA — 23,00 €/Lt — 11.04.2025 (https://www.notion.so/NEUCE-GOLD-NC-Tinta-130-Acrilica-NEUCE-Industria-de-Tintas-SA-23-00-Lt-11-04-2025-7780de8119b2410c86623fba2d8fb5db?pvs=21)"
Tomada Schuko,,,11/02/2025,"October 6, 2025 2:00 PM",un,,,Томада Шуко,Atal Elétrico,€1.38,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Tomada Schuko — Atal Elétrico — 1,38 €/Шт — 11.02.2025 (https://www.notion.so/Tomada-Schuko-Atal-El-trico-1-38-11-02-2025-95fd16fadab148359e4f73d6f53801c9?pvs=21)"
Centro Consumo COM Depurador Preto Mate,,,11/02/2025,"October 6, 2025 2:00 PM",un,фильтры,,Центр потребления с черным матовым фильтром,Atal Elétrico,€2.83,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Centro Consumo COM Depurador Preto Mate — Atal Elétrico — 2,83 €/Шт — 11.02.2025 (https://www.notion.so/Centro-Consumo-COM-Depurador-Preto-Mate-Atal-El-trico-2-83-11-02-2025-d65906a3628f499887c64e8677ed2433?pvs=21)"
Rolo Raval 220mm,,,11/04/2025,"October 6, 2025 2:00 PM",un,Инструменты,,Rolo Raval 220мм,NEUCE - Industria de Tintas SA,€4.69,,https://www.notion.so/4761b650577842609afc3739db34226d,"October 6, 2025 2:00 PM",,"Rolo Raval 220mm — NEUCE - Industria de Tintas SA — 4,69 €/Шт — 11.04.2025 (https://www.notion.so/Rolo-Raval-220mm-NEUCE-Industria-de-Tintas-SA-4-69-11-04-2025-09a1fb74a8fd4486ae64277d8bea4f64?pvs=21)"
Rebite Alum Pop 3 x 10,,,11/02/2025,"October 6, 2025 2:00 PM",un,Крепежные изделия,,Ребит алюминиевый 3 x 10,Glória e Silvestre Lda,€1.90,,https://www.notion.so/42b2f82f3d9c4a0f8eff757ce0273eb4,"October 6, 2025 2:00 PM",,"Rebite Alum Pop 3 x 10 — Glória e Silvestre Lda — 1,90 €/Шт — 11.02.2025 (https://www.notion.so/Rebite-Alum-Pop-3-x-10-Gl-ria-e-Silvestre-Lda-1-90-11-02-2025-33a874896f3d451fb92daea7a5834aa6?pvs=21)"
Kit Conector Estanqo (Nos Adonar),,,11/02/2025,"October 6, 2025 2:00 PM",un,Клеи и герметики,,Комплект соединителей Estanqo (Nos Adonar),Atal Elétrico,€1.96,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Kit Conector Estanqo (Nos Adonar) — Atal Elétrico — 1,96 €/Шт — 11.02.2025 (https://www.notion.so/Kit-Conector-Estanqo-Nos-Adonar-Atal-El-trico-1-96-11-02-2025-635dfe35290041778216ec97afd25b95?pvs=21)"
Fita de Led Flexivel Ecolen,,,11/02/2025,"October 6, 2025 2:00 PM",Mt,Освещение,,Гибкая светодиодная лента Ecolen,Atal Elétrico,€11.50,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Fita de Led Flexivel Ecolen — Atal Elétrico — 11,50 €/Mt — 11.02.2025 (https://www.notion.so/Fita-de-Led-Flexivel-Ecolen-Atal-El-trico-11-50-Mt-11-02-2025-e87272943be8445e9c97003afe58977c?pvs=21)"
Disjuntor MT - 1P - 4.5KA - C,,,11/02/2025,"October 6, 2025 2:00 PM",un,,,Автоматический выключатель MT - 1P - 4.5KA - C,Atal Elétrico,€1.00,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Disjuntor MT - 1P - 4.5KA - C — Atal Elétrico — 1,00 €/Шт — 11.02.2025 (https://www.notion.so/Disjuntor-MT-1P-4-5KA-C-Atal-El-trico-1-00-11-02-2025-8689fb7a7c1d4e88b33623746ccee8c2?pvs=21)"
Rebite Alum Pop 5 x 12,,,11/02/2025,"October 6, 2025 2:00 PM",un,Крепежные изделия,,Ребита алюминиевая Поп 5 x 12,Glória e Silvestre Lda,€2.22,,https://www.notion.so/42b2f82f3d9c4a0f8eff757ce0273eb4,"October 6, 2025 2:00 PM",,"Rebite Alum Pop 5 x 12 — Glória e Silvestre Lda — 2,22 €/Шт — 11.02.2025 (https://www.notion.so/Rebite-Alum-Pop-5-x-12-Gl-ria-e-Silvestre-Lda-2-22-11-02-2025-ad3513f0106a41debe57e359b728236b?pvs=21)"
Tubo Rígido VD 32LIHG,,,11/02/2025,"October 6, 2025 2:00 PM",un,Трубы и фитинги,,Труба жесткая VD 32LIHG,Atal Elétrico,€1.39,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Tubo Rígido VD 32LIHG — Atal Elétrico — 1,39 €/Шт — 11.02.2025 (https://www.notion.so/Tubo-R-gido-VD-32LIHG-Atal-El-trico-1-39-11-02-2025-606327f636e542239739ca1699ff426d?pvs=21)"
Rebite Aba Largo 5 X12 X 16,,,11/02/2025,"October 6, 2025 2:00 PM",un,Крепежные изделия,,Ребита Аба Ларго 5 X12 X 16,Glória e Silvestre Lda,€4.92,,https://www.notion.so/42b2f82f3d9c4a0f8eff757ce0273eb4,"October 6, 2025 2:00 PM",,"Rebite Aba Largo 5 X12 X 16 — Glória e Silvestre Lda — 4,92 €/Шт — 11.02.2025 (https://www.notion.so/Rebite-Aba-Largo-5-X12-X-16-Gl-ria-e-Silvestre-Lda-4-92-11-02-2025-95d9029ff5b24470874e83f9114d7054?pvs=21)"
Design Box - 9P + 4R - 43KA - C,,,11/02/2025,"October 6, 2025 2:00 PM",un,,,Дизайн Бокс - 9П + 4Р - 43КA - С,Atal Elétrico,€1.00,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Design Box - 9P + 4R - 43KA - C — Atal Elétrico — 1,00 €/Шт — 11.02.2025 (https://www.notion.so/Design-Box-9P-4R-43KA-C-Atal-El-trico-1-00-11-02-2025-40a09b437f824340ad8ed2d078527be1?pvs=21)"
Espuma Esmires Grande Mate,,,11/02/2025,"October 6, 2025 2:00 PM",un,строительные пены,,Эспума Эсмирас Гранде Мате,Atal Elétrico,€2.83,,https://www.notion.so/b57a93913d1a4df483f058bcb7286e5d,"October 6, 2025 2:00 PM",,"Espuma Esmires Grande Mate — Atal Elétrico — 2,83 €/Шт — 11.02.2025 (https://www.notion.so/Espuma-Esmires-Grande-Mate-Atal-El-trico-2-83-11-02-2025-3f16e6ea305244a1badfa7e5353a9b52?pvs=21)"
TUBO PVC 2M,,,20/03/2025,"October 8, 2025 5:07 PM",un,Трубы и фитинги,,Труба ПВХ 2м,SOLIDSUL UNIPESSOAL,€60.00,SOLIDSUL UNIPESSOAL (https://www.notion.so/SOLIDSUL-UNIPESSOAL-d4e3e4c9a50d4a718077587bca965946?pvs=21),https://www.notion.so/d4e3e4c9a50d4a718077587bca965946,"October 8, 2025 3:13 PM",€60.00,"TUBO PVC 2M — SOLIDSUL UNIPESSOAL — 60,00 €/Шт — 20.03.2025 (https://www.notion.so/TUBO-PVC-2M-SOLIDSUL-UNIPESSOAL-60-00-20-03-2025-23e57d1860c944cb84ee4578259ce346?pvs=21)"
